"","id","n_accidents","All.usual.residents","Males","Females","children","adults","A Road","B Road","Motorway","Not Classified","Unclassified","Total_km","LSOA11CD"
"279","W01000279",29,1264,604,660,209,1055,0,0,0,0.251,3.044,3.295,"W01000279"
"280","W01000280",18,1426,713,713,300,1126,0,0,0,0.206,5.236,5.442,"W01000280"
"281","W01000281",11,1222,611,611,235,987,0,0.232,0,0,2.953,3.185,"W01000281"
"282","W01000282",20,1743,885,858,563,1180,0,0.909,0,0,3.907,4.816,"W01000282"
"283","W01000283",80,2259,1120,1139,453,1806,0,0.872,0,10.278,6.879,18.029,"W01000283"
"284","W01000284",16,1708,845,863,403,1305,0,0,0,0.395,4.67,5.065,"W01000284"
"285","W01000285",63,1473,715,758,273,1200,0.205,0.43,0,0.997,6.037,7.669,"W01000285"
"286","W01000286",147,2239,1115,1124,580,1659,4.598,2.463,0,1.654,7.965,16.68,"W01000286"
"287","W01000287",48,1808,885,923,338,1470,3.637,0,0,20.531,14.694,38.862,"W01000287"
"288","W01000288",69,2264,1073,1191,525,1739,0.549,0,0,0.196,7.845,8.59,"W01000288"
"289","W01000289",24,1358,683,675,313,1045,0.2,0,0,1.575,4.77,6.545,"W01000289"
"290","W01000290",62,1269,622,647,227,1042,0.961,0,0,0.846,3.104,4.911,"W01000290"
"291","W01000291",4,1401,665,736,327,1074,0,0,0,0.306,3.755,4.061,"W01000291"
"292","W01000292",27,1483,706,777,419,1064,0,0,0,0,1.753,1.753,"W01000292"
"293","W01000293",57,1568,825,743,338,1230,2.415,0,0,4.27,4.653,11.338,"W01000293"
"294","W01000294",47,1937,992,945,424,1513,2.316,0,0,1.275,9.547,13.138,"W01000294"
"295","W01000295",28,1673,801,872,363,1310,0.492,0,0,0.085,2.275,2.852,"W01000295"
"296","W01000296",38,1506,748,758,346,1160,2.237,0.672,0,4.409,4.618,11.936,"W01000296"
"297","W01000297",10,1235,592,643,329,906,0,0.131,0,0.478,3.351,3.96,"W01000297"
"298","W01000298",73,1527,762,765,304,1223,1.162,0,0,5.717,9.743,16.622,"W01000298"
"299","W01000299",23,1942,955,987,338,1604,0,0,0,7.129,19.314,26.443,"W01000299"
"300","W01000300",67,1726,846,880,295,1431,2.251,0.117,0,8.328,31.335,42.031,"W01000300"
"301","W01000301",95,1785,889,896,344,1441,1.833,4.895,0,26.497,35.048,68.273,"W01000301"
"302","W01000302",93,1887,889,998,352,1535,2.703,0.924,0,2.984,6.229,12.84,"W01000302"
"303","W01000303",26,1697,816,881,388,1309,0.002,0,0,2.532,15.718,18.252,"W01000303"
"304","W01000304",83,1988,966,1022,488,1500,2.317,1.036,0,0.638,5.532,9.523,"W01000304"
"305","W01000305",48,1758,874,884,368,1390,1.577,0,0,1.42,4.759,7.756,"W01000305"
"306","W01000306",79,2399,1211,1188,557,1842,2.079,0.642,0,2.44,5.913,11.074,"W01000306"
"307","W01000307",103,1363,670,693,290,1073,4.793,0.459,0,4.248,17.771,27.271,"W01000307"
"308","W01000308",26,1242,616,626,274,968,0.895,0.175,0,0.86,3.582,5.512,"W01000308"
"309","W01000309",132,2135,1064,1071,464,1671,4.617,0.876,0,3.251,13.146,21.89,"W01000309"
"310","W01000310",89,1850,917,933,346,1504,0.985,6.152,0,16.349,29.984,53.47,"W01000310"
"311","W01000311",69,1782,901,881,355,1427,0.058,1.148,0,0.578,6.077,7.861,"W01000311"
"312","W01000312",49,1714,851,863,357,1357,0.002,0.27,0,0.991,3.143,4.406,"W01000312"
"313","W01000313",16,1566,729,837,381,1185,0.027,1.075,0,2.166,6.992,10.26,"W01000313"
"314","W01000314",50,1129,548,581,196,933,0.641,0,0,0.257,3.035,3.933,"W01000314"
"315","W01000315",118,2006,963,1043,410,1596,3.513,0.133,0,1.79,8.587,14.023,"W01000315"
"316","W01000316",4,1323,620,703,270,1053,0,0,0,0.234,3.58,3.814,"W01000316"
"317","W01000317",2,1393,708,685,337,1056,0.54,0,0,0.282,5.122,5.944,"W01000317"
"318","W01000318",1,1172,579,593,348,824,0,0,0,0.037,1.789,1.826,"W01000318"
"319","W01000319",41,1469,733,736,262,1207,1.161,0.429,0,0.298,4.466,6.354,"W01000319"
"320","W01000320",67,1844,902,942,412,1432,4.845,0,0,12.655,15.703,33.203,"W01000320"
"321","W01000321",5,1659,808,851,323,1336,0.124,0,0,0.262,3.773,4.159,"W01000321"
"322","W01000322",32,1342,642,700,240,1102,0.588,0,0,0.267,3.345,4.2,"W01000322"
"323","W01000323",110,1545,760,785,291,1254,6.083,2.836,0,7.436,10.006,26.361,"W01000323"
"324","W01000324",16,1504,716,788,338,1166,0.639,0,0,0.264,5.517,6.42,"W01000324"
"325","W01000325",71,1530,745,785,285,1245,0.657,2.611,0,1.557,6.625,11.45,"W01000325"
"326","W01000326",23,1677,814,863,337,1340,1.336,0,0,1.764,8.335,11.435,"W01000326"
"327","W01000327",172,2197,1111,1086,441,1756,5.994,0,0,1.967,12.763,20.724,"W01000327"
"328","W01000328",149,2109,1106,1003,412,1697,1.085,2.561,0,4.988,10.554,19.188,"W01000328"
"329","W01000329",61,1373,674,699,330,1043,0.84,2.924,0,3.221,3.681,10.666,"W01000329"
"330","W01000330",38,2150,1068,1082,555,1595,0.497,0,0,0.089,3.173,3.759,"W01000330"
"331","W01000331",30,1609,799,810,328,1281,0,0,0,0.186,3.852,4.038,"W01000331"
"332","W01000332",257,1568,792,776,354,1214,10.063,1.817,0,15.824,20.284,47.988,"W01000332"
"333","W01000333",55,1428,700,728,360,1068,0.19,0.697,0,7.427,4.074,12.388,"W01000333"
"334","W01000334",31,1958,994,964,391,1567,0,0.623,0,1.164,4.527,6.314,"W01000334"
"335","W01000335",30,1111,526,585,236,875,0,0,0,0.413,4.069,4.482,"W01000335"
"336","W01000336",51,1465,712,753,443,1022,0.173,0.006,0,0.369,3.191,3.739,"W01000336"
"337","W01000337",52,2129,1080,1049,421,1708,0,0.374,0,1.119,5.941,7.434,"W01000337"
"338","W01000338",80,1838,888,950,352,1486,3.436,0,0,9.552,31.487,44.475,"W01000338"
"339","W01000339",64,1627,800,827,326,1301,5.725,0.743,0,6.988,22.69,36.146,"W01000339"
"340","W01000340",134,2322,1186,1136,452,1870,10.088,0,0,10.874,30.131,51.093,"W01000340"
"341","W01000341",18,1582,749,833,353,1229,0,0.096,0,0.174,4.17,4.44,"W01000341"
"342","W01000342",16,1583,745,838,325,1258,0,0.027,0,0.08,4.347,4.454,"W01000342"
"343","W01000343",19,1054,510,544,167,887,0.034,0,0,0,3.764,3.798,"W01000343"
"344","W01000344",13,1305,630,675,200,1105,0,0,0,0,5.09,5.09,"W01000344"
"345","W01000345",37,1583,783,800,289,1294,2.119,7.133,0,5.3,16.637,31.189,"W01000345"
"346","W01000346",92,1596,786,810,343,1253,11.081,0,0,14.584,48.723,74.388,"W01000346"
"347","W01000347",52,2524,1272,1252,564,1960,0,2.803,0,2.636,16.045,21.484,"W01000347"
"348","W01000348",16,1457,713,744,384,1073,0,0,0,0.668,3.943,4.611,"W01000348"
"349","W01000349",145,1853,934,919,364,1489,1.747,0.854,0,1.264,5.064,8.929,"W01000349"
"350","W01000350",175,1595,870,725,246,1349,0.776,0.003,0,1.107,3.688,5.574,"W01000350"
"351","W01000351",27,2175,1066,1109,470,1705,0,1.037,0,0.74,8.914,10.691,"W01000351"
"352","W01000352",14,1007,502,505,198,809,0.079,0,0,0.145,1.878,2.102,"W01000352"
"353","W01000353",11,1386,682,704,417,969,0,0,0,0.238,3.455,3.693,"W01000353"
"354","W01000354",28,1731,871,860,331,1400,0.795,0,0,6.132,8.686,15.613,"W01000354"
"355","W01000355",43,1614,821,793,307,1307,0.093,0.96,0,2.042,3.896,6.991,"W01000355"
"356","W01000356",20,1729,861,868,444,1285,0,0.935,0,0.957,4.025,5.917,"W01000356"
"357","W01000357",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","W01000358",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","W01000359",70,1177,562,615,235,942,1.428,1.813,0,2.787,4.658,10.686,"W01000359"
"360","W01000360",6,1255,615,640,303,952,0,0,0,0.287,2.753,3.04,"W01000360"
"361","W01000361",98,2036,978,1058,437,1599,0.407,2.318,0,13.611,21.647,37.983,"W01000361"
"362","W01000362",13,1529,746,783,393,1136,0.001,0.061,0,0.647,4.243,4.952,"W01000362"
"363","W01000363",20,1524,740,784,287,1237,0.4,0.729,0,0.158,3.73,5.017,"W01000363"
"364","W01000364",101,1649,853,796,342,1307,3.161,0,0,3.277,8.266,14.704,"W01000364"
"365","W01000365",41,2200,1125,1075,346,1854,0.139,0.637,0,0.288,6.163,7.227,"W01000365"
"366","W01000366",28,1454,725,729,331,1123,0.054,0.218,0,0.101,3.87,4.243,"W01000366"
"367","W01000367",36,1312,677,635,302,1010,0.378,0.165,0,0.546,3.045,4.134,"W01000367"
"368","W01000368",29,2036,1004,1032,359,1677,0.843,0,0,0.124,6.023,6.99,"W01000368"
"369","W01000369",12,1270,602,668,223,1047,0,0.554,0,1.135,4.917,6.606,"W01000369"
"370","W01000370",72,1460,692,768,256,1204,1.088,2.451,0,2.552,6.944,13.035,"W01000370"
"371","W01000371",40,1204,617,587,212,992,0.137,0.37,0,0.185,1.653,2.345,"W01000371"
"372","W01000372",231,1486,762,724,179,1307,1.165,0.837,0,1.547,3.562,7.111,"W01000372"
"373","W01000373",46,1831,904,927,467,1364,0,1.14,0,0.714,3.459,5.313,"W01000373"
"374","W01000374",15,1386,675,711,296,1090,0,0,0,0.14,4.054,4.194,"W01000374"
"375","W01000375",127,1997,977,1020,514,1483,1.495,0.712,0,0.938,7.743,10.888,"W01000375"
"376","W01000376",32,1390,706,684,284,1106,0.476,0.09,0,0.666,3.096,4.328,"W01000376"
"377","W01000377",24,1540,771,769,348,1192,0.309,0,0,1.233,7.691,9.233,"W01000377"
"378","W01000378",37,1324,621,703,386,938,0.42,0,0,0.621,3.403,4.444,"W01000378"
"379","W01000379",10,1598,801,797,349,1249,0,0,0,0.576,4.752,5.328,"W01000379"
"380","W01000380",52,1442,718,724,237,1205,0,0,0,0.901,5.438,6.339,"W01000380"
"381","W01000381",14,1130,572,558,192,938,0,0,0,0,2.486,2.486,"W01000381"
"382","W01000382",45,1075,548,527,213,862,0.299,0.006,0,0.736,2.504,3.545,"W01000382"
"383","W01000383",255,2441,1228,1213,610,1831,5.744,7.187,0,16.965,57.835,87.731,"W01000383"
"384","W01000384",4,1113,528,585,199,914,0,1.052,0,0.487,3.514,5.053,"W01000384"
"385","W01000385",14,1750,873,877,331,1419,0,0.384,0,0.055,4.803,5.242,"W01000385"
"386","W01000386",13,1516,739,777,360,1156,0,0.845,0,0.432,4.953,6.23,"W01000386"
"387","W01000387",25,1257,606,651,244,1013,0.213,0,0,0.051,4.102,4.366,"W01000387"
"388","W01000388",2,1065,515,550,200,865,0.219,0,0,0,2.653,2.872,"W01000388"
"389","W01000389",28,2059,1028,1031,448,1611,3.169,1.751,0,4.079,16.393,25.392,"W01000389"
"390","W01000390",67,1669,832,837,304,1365,0,5.792,0,4.242,8.423,18.457,"W01000390"
"391","W01000391",53,1425,714,711,259,1166,0,1.301,0,1.439,5.252,7.992,"W01000391"
"392","W01000392",9,1720,831,889,468,1252,0,0.022,0,0.788,4.483,5.293,"W01000392"
"393","W01000393",81,1950,955,995,383,1567,0.96,0.101,0,0.484,6.116,7.661,"W01000393"
"394","W01000394",169,1279,657,622,263,1016,7.918,10.1,0,21.327,31.277,70.622,"W01000394"
"395","W01000395",32,1092,542,550,219,873,2.918,0,0,2.504,3.47,8.892,"W01000395"
"396","W01000396",10,1235,607,628,255,980,0,0.398,0,0.607,3.422,4.427,"W01000396"
"397","W01000397",8,1045,520,525,214,831,0,0.158,0,2.375,6.66,9.193,"W01000397"
"398","W01000398",21,1314,671,643,256,1058,1.006,3.942,0,3.626,7.135,15.709,"W01000398"
"399","W01000399",63,1158,584,574,232,926,2.558,3.037,0,3.268,9.381,18.244,"W01000399"
"400","W01000400",77,1657,814,843,360,1297,0,2.38,0,2.033,4.022,8.435,"W01000400"
"401","W01000401",15,1791,879,912,433,1358,0,1.18,0,0.396,5.29,6.866,"W01000401"
"402","W01000402",186,2648,1422,1226,430,2218,2.107,0.757,0,0.983,4.275,8.122,"W01000402"
"403","W01000403",43,1327,668,659,260,1067,8.766,0,0,11.21,37.025,57.001,"W01000403"
"404","W01000404",83,1988,984,1004,447,1541,10.773,3.079,0,12.767,22.711,49.33,"W01000404"
"405","W01000405",28,2335,1114,1221,638,1697,0,0.631,0,0.965,5.671,7.267,"W01000405"
"406","W01000406",12,2205,1093,1112,580,1625,0,0.618,0,1.532,4.908,7.058,"W01000406"
"407","W01000407",72,1349,659,690,260,1089,6.312,2.167,0,14.806,11.773,35.058,"W01000407"
"408","W01000408",14,1184,587,597,283,901,0,0.3,0,2.205,9.321,11.826,"W01000408"
"409","W01000409",24,1977,958,1019,629,1348,0,0,0,0.368,4.328,4.696,"W01000409"
"410","W01000410",120,1647,822,825,344,1303,3.401,3.159,0,3.443,7.469,17.472,"W01000410"
"411","W01000411",21,1599,779,820,346,1253,0,0.417,0,1.206,6.092,7.715,"W01000411"
"412","W01000412",22,1596,821,775,319,1277,0,4.321,0,4.055,11.713,20.089,"W01000412"
"413","W01000413",17,1422,683,739,540,882,0,0,0,0.053,2.246,2.299,"W01000413"
"414","W01000414",10,1263,627,636,390,873,0,0,0,0.102,3.272,3.374,"W01000414"
"415","W01000415",29,1484,730,754,243,1241,0.225,0.257,0,0.435,3.162,4.079,"W01000415"
"416","W01000416",7,1266,638,628,243,1023,0.081,0,0,0.203,3.465,3.749,"W01000416"
"417","W01000417",15,1568,783,785,316,1252,0,2.831,0,4.157,11.044,18.032,"W01000417"
"418","W01000418",78,1663,847,816,345,1318,2.202,3.043,0,6.067,15.536,26.848,"W01000418"
"419","W01000419",73,1539,774,765,403,1136,1.961,1.748,0,2.894,6.971,13.574,"W01000419"
"420","W01000420",37,1386,677,709,273,1113,0.089,0.943,0,1.558,4.996,7.586,"W01000420"
"421","W01000421",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","W01000422",65,2114,1044,1070,355,1759,0,1.058,0,0.464,5.629,7.151,"W01000422"
"423","W01000423",27,2232,1102,1130,657,1575,0,0,0,0.767,5.225,5.992,"W01000423"
"424","W01000424",21,1264,636,628,228,1036,0.213,0,0,0.369,1.958,2.54,"W01000424"
"425","W01000425",38,2323,1150,1173,730,1593,0.28,0,0,0.161,6.142,6.583,"W01000425"
"426","W01000426",61,1424,701,723,263,1161,3.069,0.868,0,2.902,7.496,14.335,"W01000426"
"427","W01000427",98,1411,715,696,274,1137,16.25,28.382,0,99.876,106.051,250.559,"W01000427"
"428","W01000428",102,1334,683,651,230,1104,6.873,11.029,0,33.337,58.909,110.148,"W01000428"
"429","W01000429",227,2294,1182,1112,452,1842,24.543,19.801,0,280.072,178.624,503.04,"W01000429"
"430","W01000430",100,1282,632,650,251,1031,20.247,0.049,0,43.348,49.103,112.747,"W01000430"
"431","W01000431",21,1335,671,664,347,988,0.991,0.289,0,1.131,2.35,4.761,"W01000431"
"432","W01000432",7,1233,579,654,259,974,1.441,0.843,0,1.086,5.895,9.265,"W01000432"
"433","W01000433",172,2316,1163,1153,411,1905,15.602,9.818,0,70.461,58.945,154.826,"W01000433"
"434","W01000434",30,1691,845,846,328,1363,6.426,6.422,0,24.505,56.12,93.473,"W01000434"
"435","W01000435",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","W01000436",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","W01000437",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","W01000438",85,1239,613,626,178,1061,8.705,0,0,19.561,29.611,57.877,"W01000438"
"439","W01000439",111,1972,977,995,419,1553,4.058,11.665,0,28.093,61.362,105.178,"W01000439"
"440","W01000440",126,1350,664,686,270,1080,9.635,8.24,0,38.132,102.782,158.789,"W01000440"
"441","W01000441",71,1426,702,724,301,1125,4.195,8.241,0,30.512,29.173,72.121,"W01000441"
"442","W01000442",132,2040,1009,1031,377,1663,25.455,7.279,0,260.433,116.495,409.662,"W01000442"
"443","W01000443",58,2299,1131,1168,417,1882,10.809,22.459,0,64.099,132.71,230.077,"W01000443"
"444","W01000444",96,2319,1129,1190,453,1866,8.498,19.095,0,35.476,55.487,118.556,"W01000444"
"445","W01000445",70,1527,775,752,287,1240,4.665,4.488,0,20.106,67.897,97.156,"W01000445"
"446","W01000446",23,1598,769,829,275,1323,0,1.985,0,1.052,5.473,8.51,"W01000446"
"447","W01000447",195,2057,1036,1021,437,1620,20.097,14.69,0,57.141,76.057,167.985,"W01000447"
"448","W01000448",20,1406,676,730,275,1131,1.168,3.364,0,5.791,16.147,26.47,"W01000448"
"449","W01000449",34,1601,816,785,297,1304,5.102,0.803,0,6.715,11.479,24.099,"W01000449"
"450","W01000450",119,1386,687,699,256,1130,9.161,17.385,0,90.02,121.608,238.174,"W01000450"
"451","W01000451",86,1129,550,579,242,887,15.272,0,0,25.358,37.369,77.999,"W01000451"
"452","W01000452",121,1931,1001,930,371,1560,20.694,15.975,0,242.635,128.121,407.425,"W01000452"
"453","W01000453",142,1405,712,693,268,1137,11.089,0,0,74.66,78.09,163.839,"W01000453"
"454","W01000454",35,1227,622,605,186,1041,2.246,0,0,1.341,4.528,8.115,"W01000454"
"455","W01000455",17,2059,1001,1058,481,1578,2.169,0,0,2.401,8.661,13.231,"W01000455"
"456","W01000456",21,2023,964,1059,352,1671,1.611,0,0,8.156,13.812,23.579,"W01000456"
"457","W01000457",87,2191,1090,1101,484,1707,4.28,11.407,0,24.848,40.34,80.875,"W01000457"
"458","W01000458",56,1789,888,901,363,1426,1.846,5.535,0,9.936,23.356,40.673,"W01000458"
"459","W01000459",95,1206,598,608,246,960,19.311,6.862,0,59.295,69.584,155.052,"W01000459"
"460","W01000460",98,1810,891,919,434,1376,9.8,8.514,0,40.344,68.226,126.884,"W01000460"
"461","W01000461",25,1532,806,726,299,1233,4.123,6.197,0,29.486,38.525,78.331,"W01000461"
"462","W01000462",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","W01000463",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","W01000464",108,1255,629,626,219,1036,17.66,15.122,0,110.41,69.805,212.997,"W01000464"
"465","W01000465",58,1036,506,530,182,854,0,7.979,0,10.798,24.067,42.844,"W01000465"
"466","W01000466",13,1425,664,761,301,1124,0.324,1.717,0,1.526,4.179,7.746,"W01000466"
"467","W01000467",30,1504,779,725,216,1288,0.378,3.379,0,5.545,5.458,14.76,"W01000467"
"468","W01000468",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","W01000469",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","W01000470",81,1880,914,966,334,1546,5.599,7.735,0,30.267,53.866,97.467,"W01000470"
"471","W01000471",88,1875,949,926,334,1541,18.278,5.204,0,270.405,109.367,403.254,"W01000471"
"472","W01000472",57,1141,568,573,193,948,10.27,3.725,0,16.594,26.951,57.54,"W01000472"
"473","W01000473",31,2235,1074,1161,451,1784,2.835,0,0,6.962,9.192,18.989,"W01000473"
"474","W01000474",149,1703,851,852,307,1396,33.069,0,0,116.034,150.218,299.321,"W01000474"
"475","W01000475",94,2371,1178,1193,433,1938,20.739,26.226,0,86.832,151.722,285.519,"W01000475"
"476","W01000476",18,1295,616,679,251,1044,0,7.782,0,5.335,12.74,25.857,"W01000476"
"477","W01000477",129,1465,740,725,266,1199,27.105,12.614,0,163.271,118.21,321.2,"W01000477"
"478","W01000478",21,1755,862,893,554,1201,0.182,0,0,0.07,4.696,4.948,"W01000478"
"479","W01000479",24,1523,722,801,414,1109,0.798,0,0,0.348,3.007,4.153,"W01000479"
"480","W01000480",167,2069,1023,1046,414,1655,6.098,0.563,0,5.682,14.005,26.348,"W01000480"
"481","W01000481",24,2267,1102,1165,409,1858,0,3.609,0,6.208,12.177,21.994,"W01000481"
"482","W01000482",32,1844,937,907,378,1466,0,3.876,0,5.942,13.119,22.937,"W01000482"
"483","W01000483",52,1899,914,985,567,1332,2.953,0,0,1.966,10.271,15.19,"W01000483"
"484","W01000484",109,1562,803,759,266,1296,16.088,25.503,0,62.141,81.222,184.954,"W01000484"
"485","W01000485",30,1547,732,815,216,1331,0,9.582,0,17.546,19.516,46.644,"W01000485"
"486","W01000486",6,1163,587,576,268,895,0,4.006,0,3.262,3.656,10.924,"W01000486"
"487","W01000487",34,2088,997,1091,363,1725,2.109,5.69,0,34.854,76.194,118.847,"W01000487"
"488","W01000488",38,2180,1128,1052,432,1748,0,15.51,0,72.015,116.669,204.194,"W01000488"
"489","W01000489",46,1797,877,920,477,1320,0.788,1.234,0,3.133,8.35,13.505,"W01000489"
"490","W01000490",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","W01000491",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","W01000492",35,1591,782,809,266,1325,0,2.318,0,1.252,4.968,8.538,"W01000492"
"493","W01000493",51,1520,778,742,350,1170,0.652,2.818,0,7.463,6.377,17.31,"W01000493"
"494","W01000494",101,1724,849,875,346,1378,12.202,2.812,0,10.357,47.514,72.885,"W01000494"
"495","W01000495",279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","W01000496",80,2118,1057,1061,392,1726,8.552,0,0,54.095,46.52,109.167,"W01000496"
"497","W01000497",145,1430,715,715,342,1088,6.954,1.501,0,19.069,32.354,59.878,"W01000497"
"498","W01000498",91,1538,746,792,340,1198,6.866,0.204,0,29.496,14.231,50.797,"W01000498"
"499","W01000499",61,1290,626,664,258,1032,1.662,0.476,0,1.256,2.359,5.753,"W01000499"
"500","W01000500",55,1536,767,769,324,1212,6.011,0,0,9.113,8.638,23.762,"W01000500"
"501","W01000501",37,2300,1134,1166,447,1853,2.787,0.6,0,9.646,13.433,26.466,"W01000501"
"502","W01000502",100,2071,992,1079,342,1729,0.134,3.232,0,3.832,10.497,17.695,"W01000502"
"503","W01000503",44,1038,509,529,192,846,3.762,10.595,0,67.878,101.628,183.863,"W01000503"
"504","W01000504",9,1161,587,574,267,894,0.003,0.384,0,0.291,3.056,3.734,"W01000504"
"505","W01000505",21,1383,660,723,229,1154,0.472,0.376,0,9.148,6.38,16.376,"W01000505"
"506","W01000506",35,1422,673,749,203,1219,2.925,0,0,4.351,8.217,15.493,"W01000506"
"507","W01000507",42,1196,582,614,183,1013,3.428,5.203,0,16.354,12.177,37.162,"W01000507"
"508","W01000508",6,1178,591,587,235,943,0,0,0,12.428,5.799,18.227,"W01000508"
"509","W01000509",14,1784,833,951,340,1444,0.343,2.19,0,1.69,9.474,13.697,"W01000509"
"510","W01000510",50,1226,595,631,224,1002,1.96,1.083,0,3.399,4.512,10.954,"W01000510"
"511","W01000511",101,1174,595,579,281,893,3.059,0.992,0,3.445,7.511,15.007,"W01000511"
"512","W01000512",34,2075,1105,970,167,1908,0.816,0,0,2.6,2.448,5.864,"W01000512"
"513","W01000513",79,2471,1328,1143,112,2359,0.677,0.529,0,0.887,2.647,4.74,"W01000513"
"514","W01000514",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","W01000515",16,1446,727,719,335,1111,0.491,0,0,0.674,2.805,3.97,"W01000515"
"516","W01000516",43,1676,836,840,413,1263,0.906,0,0,1.215,3.642,5.763,"W01000516"
"517","W01000517",23,1472,807,665,108,1364,0.014,0.05,0,0.236,3.163,3.463,"W01000517"
"518","W01000518",22,1259,629,630,156,1103,0.374,0,0,3.351,2.605,6.33,"W01000518"
"519","W01000519",106,1627,800,827,255,1372,5.858,13.419,0,41.778,60.697,121.752,"W01000519"
"520","W01000520",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","W01000521",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","W01000522",44,1293,655,638,213,1080,6.68,12.019,0,44.815,47.558,111.072,"W01000522"
"523","W01000523",92,1910,972,938,397,1513,11.937,4.525,0,121.789,62.475,200.726,"W01000523"
"524","W01000524",102,1974,986,988,387,1587,10.396,4.031,0,30.461,48.051,92.939,"W01000524"
"525","W01000525",25,1206,556,650,176,1030,0.599,0,0,3.698,5.901,10.198,"W01000525"
"526","W01000526",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","W01000527",30,1510,807,703,190,1320,1.333,0,0,2.126,2.055,5.514,"W01000527"
"528","W01000528",26,1460,700,760,296,1164,5.427,0,0,8.423,8.236,22.086,"W01000528"
"529","W01000529",126,1616,826,790,344,1272,8.37,8.926,0,29.863,48.816,95.975,"W01000529"
"530","W01000530",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","W01000531",49,1835,879,956,353,1482,9.364,8.121,0,32.806,31.096,81.387,"W01000531"
"532","W01000532",90,1979,979,1000,343,1636,11.395,7.699,0,55.45,71.282,145.826,"W01000532"
"533","W01000533",26,1439,691,748,295,1144,1.262,5.016,0,5.576,9.188,21.042,"W01000533"
"534","W01000534",175,1541,756,785,328,1213,14.048,3.885,0,26.652,29.113,73.698,"W01000534"
"535","W01000535",82,2037,1025,1012,394,1643,6.203,33.016,0,48.773,55.919,143.911,"W01000535"
"536","W01000536",41,1459,715,744,260,1199,2.88,21.467,0,99.312,64.695,188.354,"W01000536"
"537","W01000537",68,1484,736,748,263,1221,11.986,6.27,0,48.71,66.048,133.014,"W01000537"
"538","W01000538",126,1562,773,789,324,1238,4.991,12.173,0,39.335,69.52,126.019,"W01000538"
"539","W01000539",54,1222,628,594,209,1013,0.627,15.199,0,30.886,37.866,84.578,"W01000539"
"540","W01000540",80,1164,559,605,195,969,6.144,0.362,0,10.035,8.933,25.474,"W01000540"
"541","W01000541",94,1854,893,961,354,1500,8.67,18.003,0,45.035,59.297,131.005,"W01000541"
"542","W01000542",70,2209,1085,1124,426,1783,7.743,18.435,0,141.283,100.33,267.791,"W01000542"
"543","W01000543",236,2020,999,1021,388,1632,34.603,17.468,0,123.706,150.769,326.546,"W01000543"
"544","W01000544",9,1082,526,556,206,876,0.808,1.837,0,7.717,6.671,17.033,"W01000544"
"545","W01000545",83,2045,1016,1029,315,1730,9.332,13.728,0,48.008,78.445,149.513,"W01000545"
"546","W01000546",42,1128,562,566,177,951,4.316,5.844,0,17.63,19.29,47.08,"W01000546"
"547","W01000547",49,1180,558,622,220,960,3.676,1.44,0,17.674,34.667,57.457,"W01000547"
"548","W01000548",81,1901,911,990,426,1475,2.511,3.744,0,18.226,12.686,37.167,"W01000548"
"549","W01000549",39,1771,902,869,373,1398,0.981,0,0,23.74,42.989,67.71,"W01000549"
"550","W01000550",22,1213,595,618,234,979,6.499,8.099,0,61.265,44.068,119.931,"W01000550"
"551","W01000551",37,1310,639,671,249,1061,4.928,10.012,0,20.565,39.502,75.007,"W01000551"
"552","W01000552",99,2074,1038,1036,469,1605,7.366,18.055,0,60.027,56.957,142.405,"W01000552"
"553","W01000553",90,1232,609,623,180,1052,4.853,0,0,20.274,35.493,60.62,"W01000553"
"554","W01000554",51,1826,880,946,354,1472,0.339,0,0,18.558,28.498,47.395,"W01000554"
"555","W01000555",93,1416,726,690,238,1178,4.872,11.204,0,26.911,39.429,82.416,"W01000555"
"556","W01000556",35,1149,552,597,179,970,5.714,0,0,12.115,33.512,51.341,"W01000556"
"557","W01000557",100,1532,748,784,362,1170,9.338,1.028,0,8.624,33.995,52.985,"W01000557"
